table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
B	31280	durch	V7	8	V7	12	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31210	den	V7	13	V7	17	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31399	Engelland	V7	18	V7	22	I	proposed digit repair or token boundary after deletion; see emendations.json
B	31157	n	V7	23	V7	27	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31167	und	V7	28	V7	32	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31397	Preuss	V7	33	V7	37	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31272	n	V7	38	V7	42	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	41	hof	V7	43	V7	44	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31073	in	V7	45	V7	49	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31500	seh[r]	V7	50	V7	54	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31449	groß	V7	55	V7	59	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31342	ver	V7	60	V7	64	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31330	le	V7	65	V7	69	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31151	ge	V7	70	V7	74	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31033	heit	V7	75	V7	79	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31246	se	V7	80	V8	2	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31282	t	V8	3	V8	7	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31475	z	V8	8	V8	12	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	95	en	V8	13	V8	14	I	proposed digit repair or token boundary after deletion; see emendations.json
B	09	würde	V8	15	V8	16	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	897	.	V8	17	V8	19	H	1752 Clavis Secunda, numeric (R1698 I7486 P3), 800 column: 897 punctum
B	11	da	V8	20	V8	21	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	30000	ich	V8	22	V8	26	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	8		V8	27	V8	27	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31089	nu	V8	28	V8	32	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
